0.485	0.378	0.461	0.340	0.412	0.475	0.611	0.417	0.261	0.143	0.427	0.650	0.500	0.345	0.021	0.102	0.568	0.616	0.378	0.403	0.650	0.635	0.427	0.568	0.635	0.650	0.616	0.500
0.634	0.495	0.603	0.444	0.539	0.622	0.799	0.546	0.297	0.178	0.558	0.850	0.653	0.377	0.089	0.143	0.742	0.806	0.495	0.527	0.850	0.831	0.558	0.742	0.831	0.850	0.806	0.653
0.901	0.703	0.856	0.631	0.766	0.883	1.135	0.775	0.315	0.194	0.793	1.207	0.928	0.388	0.114	0.186	1.054	1.144	0.703	0.748	0.885	1.180	0.793	0.788	1.180	1.207	1.144	0.928
0.934	0.728	0.887	0.654	0.794	0.915	1.177	0.723	0.336	0.243	0.814	1.251	0.962	0.415	0.145	0.254	1.093	1.186	0.728	0.775	0.895	1.323	0.822	0.817	1.323	1.351	1.286	0.962
1.136	0.886	1.079	0.795	0.965	1.113	1.431	0.832	0.375	0.266	0.835	1.522	1.170	0.443	0.162	0.266	1.329	1.442	0.886	0.943	0.934	1.488	1.000	0.867	1.488	1.542	1.442	1.170
1.259	0.982	1.196	0.881	1.070	1.234	1.586	0.865	0.384	0.313	0.846	1.687	1.297	0.473	0.157	0.304	1.473	1.599	0.982	1.045	0.935	1.649	1.108	0.946	1.649	1.687	1.599	1.297
1.426	1.112	1.354	0.998	1.212	1.397	1.746	0.886	0.421	0.376	0.857	1.750	1.468	0.532	0.189	0.365	1.668	1.610	1.112	1.183	1.034	1.767	1.255	0.971	1.767	1.780	1.710	1.468
1.220	0.951	1.159	0.854	1.037	1.195	1.537	0.977	0.462	0.365	1.000	1.635	1.256	0.511	0.223	0.396	1.427	1.549	0.951	1.012	1.251	1.598	1.073	1.251	1.598	1.635	1.549	1.256
1.012	0.790	0.962	0.709	0.861	0.992	1.276	1.083	0.411	0.321	1.108	1.357	1.043	0.540	0.315	0.372	1.185	1.286	0.790	0.840	1.522	1.326	0.891	1.473	1.326	1.357	1.286	1.043
0.844	0.659	0.802	0.591	0.718	0.827	1.064	1.226	0.768	0.984	1.255	1.131	0.870	0.878	0.865	0.701	0.988	1.072	0.659	0.701	1.687	1.106	0.743	1.668	1.106	1.131	1.072	0.870



