0.472	0.371	0.463	0.339	0.394	0.431	0.550	0.276	0.114	0.161	0.362	0.586	0.444	0.126	0.008	0.094	0.518	0.550	0.385	0.394	0.261	0.573	0.399	0.518	0.573	0.586	0.510	0.444
0.708	0.557	0.694	0.508	0.591	0.646	0.824	0.431	0.156	0.187	0.420	0.879	0.666	0.167	0.015	0.112	0.776	0.824	0.577	0.591	0.372	0.859	0.598	0.632	0.859	0.879	0.834	0.666
0.949	0.746	0.931	0.682	0.793	0.866	1.106	0.557	0.189	0.251	0.466	1.180	0.894	0.183	0.021	0.147	1.041	1.106	0.774	0.793	0.657	1.152	0.802	0.781	1.152	1.180	1.006	0.894
0.984	0.774	0.965	0.707	0.822	0.898	1.146	0.589	0.223	0.294	0.501	1.223	0.927	0.233	0.047	0.167	1.079	1.146	0.802	0.822	0.900	1.194	0.831	0.904	1.194	1.223	1.146	0.927
1.197	0.941	1.173	0.860	0.999	1.092	1.394	0.632	0.276	0.355	0.558	1.487	1.127	0.276	0.068	0.223	1.313	1.394	0.976	0.999	1.207	1.452	1.011	1.041	1.452	1.487	1.294	1.127
1.327	1.043	1.301	0.953	1.108	1.211	1.545	0.746	0.314	0.371	0.639	1.649	1.249	0.294	0.104	0.244	1.455	1.545	1.082	1.108	1.251	1.610	1.120	1.079	1.610	1.649	1.445	1.249
1.502	1.181	1.473	1.079	1.254	1.371	1.750	0.791	0.326	0.389	0.668	1.867	1.414	0.302	0.114	0.275	1.648	1.750	1.225	1.254	1.289	1.823	1.269	1.125	1.823	1.867	1.650	1.414
1.207	0.949	1.183	0.867	1.007	1.101	1.406	1.078	0.879	0.871	0.982	1.499	1.136	0.879	1.043	1.007	1.324	1.406	0.984	1.007	1.687	1.464	1.019	1.455	1.464	1.499	1.856	1.136
1.067	0.839	1.046	0.766	0.891	0.973	1.243	1.132	1.142	1.143	1.032	1.326	1.005	0.893	1.521	1.162	1.170	1.243	0.870	0.891	1.810	1.295	0.901	1.648	1.295	1.326	1.443	1.005
0.889	0.699	0.872	0.639	0.743	0.812	1.036	0.794	0.648	0.725	0.751	1.105	0.838	0.648	0.951	0.743	0.976	1.036	0.725	0.743	1.535	1.079	0.751	1.324	1.079	1.105	1.036	0.838


