0.782	0.615	0.767	0.562	0.653	0.714	0.912	0.540	0.129	0.207	0.698	0.971	0.736	0.269	0.012	0.297	0.859	0.912	0.638	0.653	0.799	0.950	0.661	0.544	0.950	0.971	0.912	0.736
1.174	0.923	1.150	0.842	0.980	1.071	1.366	0.930	0.187	0.255	0.807	1.457	1.104	0.323	0.015	0.408	1.286	1.366	0.956	0.980	0.918	1.424	0.991	0.651	1.424	1.457	1.565	1.104
1.573	1.237	1.543	1.130	1.314	1.435	1.833	1.039	0.308	0.312	0.864	1.956	1.482	0.424	0.018	0.459	1.726	1.833	1.283	1.314	1.056	1.910	1.329	0.754	1.910	1.956	1.833	1.482
1.631	1.283	1.600	1.172	1.363	1.489	1.900	1.230	0.335	0.390	0.955	2.027	1.537	0.583	0.060	0.516	1.789	1.900	1.329	1.363	1.346	1.979	1.377	0.958	1.979	2.027	1.900	1.537
1.984	1.560	1.944	1.426	1.656	1.810	2.311	1.472	0.421	0.537	1.101	2.465	1.868	0.615	0.129	0.605	2.176	2.311	1.618	1.656	1.404	2.407	1.676	1.101	2.407	2.465	2.311	1.868
2.200	1.729	2.157	1.580	1.837	2.007	2.561	1.527	0.307	0.565	1.179	2.733	2.070	0.731	0.235	0.648	2.412	2.561	1.793	1.837	1.457	2.669	1.856	1.145	2.669	2.733	2.561	2.070
2.490	1.958	2.442	1.789	2.079	2.273	2.901	2.224	1.813	2.031	2.103	3.095	2.344	1.813	2.152	2.079	2.732	2.901	2.031	2.079	2.558	3.022	2.103	2.224	3.022	3.095	2.901	2.344
2.001	1.573	1.961	1.437	1.669	1.825	2.331	2.539	2.057	2.090	2.198	2.485	1.883	2.095	2.407	2.355	2.195	2.331	1.631	1.669	3.209	2.427	1.689	2.738	2.427	2.485	2.331	1.883
1.769	1.391	1.734	1.270	1.477	1.613	2.060	2.039	1.288	1.442	1.493	2.198	1.666	1.288	1.861	1.870	1.939	2.060	1.442	1.477	2.249	2.147	1.493	2.448	2.147	2.198	2.060	1.666
1.474	1.159	1.445	1.059	1.232	1.346	1.717	1.316	1.074	1.202	1.245	1.832	1.389	1.074	1.275	1.232	1.618	1.717	1.202	1.232	1.875	1.789	1.245	1.618	1.789	1.832	1.717	1.389
