0.566	0.412	0.571	0.448	0.443	0.463	0.530	0.448	0.458	0.309	0.541	0.530	0.478	0.422	0.377	0.324	0.525	0.437	0.427	0.448	0.494	0.478	0.530	0.432	0.478	0.525	0.422	0.396
1.031	0.750	1.040	0.816	0.806	0.844	0.966	0.525	0.509	0.406	0.985	0.966	0.872	0.509	0.437	0.461	0.956	0.700	0.778	0.816	0.900	0.872	0.966	0.787	0.872	0.956	0.769	0.722
1.051	0.764	1.061	0.831	0.822	0.860	0.984	0.831	0.850	0.720	1.003	0.984	0.889	0.752	0.928	0.899	0.975	0.714	0.793	0.831	0.917	0.889	0.984	0.802	0.889	0.975	0.784	0.736
1.107	0.805	1.117	0.876	0.865	0.906	1.037	0.876	0.896	0.956	1.057	1.037	0.937	0.876	1.147	1.147	1.026	0.758	0.835	0.876	0.966	0.937	1.037	0.846	0.937	1.026	0.825	0.775
1.140	0.829	1.150	0.902	0.891	0.933	1.067	0.902	0.922	0.985	1.088	1.067	0.964	0.902	1.182	1.182	1.057	0.686	0.860	0.902	0.994	0.964	1.067	0.870	0.964	1.057	0.850	0.798
1.169	0.850	1.179	0.924	0.913	0.956	1.094	0.924	0.945	1.009	1.115	1.094	0.988	0.924	1.191	1.211	1.084	0.854	0.882	0.924	1.020	0.988	1.094	0.893	0.988	1.084	0.871	0.818
1.183	0.861	1.193	0.936	0.925	0.968	1.107	0.936	0.957	1.022	1.129	1.107	1.000	0.936	1.226	1.226	1.097	0.914	0.893	0.936	1.032	1.000	1.107	0.904	1.000	1.097	0.882	0.827
1.208	0.878	1.219	0.955	0.945	0.988	1.131	0.955	0.977	1.043	1.152	1.131	1.021	0.955	1.252	1.252	1.120	0.933	0.911	0.955	1.054	1.021	1.131	0.922	1.021	1.120	0.901	0.845
1.227	0.893	1.238	0.971	0.960	1.004	1.149	0.971	0.993	1.060	1.172	1.149	1.038	0.971	1.263	1.272	1.139	1.388	0.926	0.971	1.071	1.038	1.149	0.938	1.038	1.139	0.915	0.860
1.048	0.762	1.058	0.829	0.820	0.858	0.982	0.829	0.848	0.905	1.000	0.982	0.886	0.829	1.096	1.086	0.972	0.810	0.790	0.829	0.914	0.886	0.982	0.800	0.886	0.972	0.782	0.734





