0.545	0.396	0.549	0.431	0.426	0.446	0.510	0.431	0.407	0.403	0.520	0.510	0.460	0.269	0.415	0.484	0.505	0.421	0.411	0.431	0.238	0.460	0.510	0.416	0.460	0.505	0.406	0.381
0.992	0.722	1.001	0.785	0.776	0.812	0.930	0.785	0.430	0.458	0.947	0.930	0.839	0.318	0.456	0.519	0.920	0.579	0.748	0.785	0.433	0.839	0.930	0.758	0.839	0.920	0.740	0.695
1.039	0.735	1.021	0.800	0.791	0.827	0.946	0.800	0.468	0.461	0.965	0.946	0.855	0.363	0.486	0.550	0.938	0.603	0.763	0.800	0.441	0.855	0.946	0.772	0.855	0.938	0.754	0.708
1.066	0.775	1.075	0.843	0.833	0.872	0.998	0.843	0.496	0.505	1.017	0.998	0.901	0.388	0.495	0.579	0.988	0.658	0.804	0.843	0.465	0.901	0.998	0.814	0.901	0.988	0.794	0.745
1.097	0.798	1.107	0.868	0.857	0.898	1.027	0.868	0.520	0.549	1.047	1.027	0.928	0.437	0.558	0.613	1.017	0.679	0.827	0.868	0.479	0.928	1.027	0.837	0.928	1.017	0.818	0.768
1.125	0.818	1.134	0.889	0.879	0.920	1.053	0.889	0.551	0.580	1.073	1.053	0.951	0.415	0.583	0.636	1.043	0.756	0.849	0.889	0.491	0.951	1.053	0.859	0.951	1.043	0.838	0.787
1.138	0.828	1.148	0.900	0.890	0.931	1.066	0.900	0.580	0.676	1.086	1.066	0.962	0.529	0.660	0.670	1.055	0.880	0.859	0.900	0.497	0.962	1.066	0.869	0.962	1.055	0.849	0.796
1.162	0.845	1.173	0.919	0.909	0.951	1.088	0.919	0.765	1.004	1.109	1.088	0.982	0.919	0.981	0.933	1.078	0.898	0.877	0.919	0.507	0.982	1.088	0.887	0.982	1.078	0.867	0.813
1.181	0.859	1.191	0.934	0.924	0.966	1.106	0.934	0.956	1.020	1.128	1.106	0.999	0.934	1.215	1.224	1.096	1.645	0.891	0.934	0.515	0.999	1.106	0.902	0.999	1.096	0.881	0.827
1.008	0.733	1.018	0.798	0.789	0.825	0.945	0.798	0.816	0.871	0.962	0.945	0.853	0.798	1.054	0.951	0.935	0.779	0.761	0.798	0.440	0.853	0.945	0.770	0.853	0.935	0.752	0.706




