0.570	0.415	0.575	0.451	0.446	0.467	0.534	0.451	0.368	0.280	0.545	0.534	0.482	0.451	0.405	0.381	0.529	0.440	0.431	0.451	0.497	0.482	0.534	0.435	0.482	0.529	0.425	0.399
1.039	0.756	1.048	0.822	0.812	0.850	0.973	0.822	0.840	0.897	0.992	0.973	0.879	0.822	1.076	1.076	0.963	0.803	0.783	0.822	0.906	0.879	0.973	0.793	0.879	0.963	0.775	0.727
1.059	0.770	1.069	0.838	0.828	0.866	0.991	0.838	0.856	0.914	1.011	0.991	0.896	0.838	1.097	1.097	0.982	0.818	0.799	0.838	0.924	0.896	0.991	0.808	0.896	0.982	0.789	0.741
1.116	0.811	1.126	0.883	0.872	0.913	1.045	0.883	0.902	0.963	1.065	1.045	0.944	0.883	1.156	1.156	1.034	0.862	0.841	0.883	0.973	0.944	1.045	0.852	0.944	1.034	0.832	0.781
1.148	0.836	1.159	0.908	0.897	0.940	1.075	0.908	0.929	0.992	1.096	1.075	0.971	0.908	1.190	1.190	1.065	0.888	0.866	0.908	1.002	0.971	1.075	0.877	0.971	1.065	0.856	0.804
1.178	0.856	1.187	0.931	0.920	0.963	1.102	0.931	0.953	1.016	1.124	1.102	0.996	0.931	1.200	1.220	1.092	0.909	0.889	0.931	1.027	0.996	1.102	0.899	0.996	1.092	0.878	0.824
1.191	0.867	1.202	0.943	0.932	0.975	1.116	0.943	0.964	1.029	1.137	1.116	1.008	0.943	1.235	1.235	1.105	0.921	0.899	0.943	1.040	1.008	1.116	0.910	1.008	1.105	0.889	0.834
1.217	0.885	1.228	0.962	0.952	0.996	1.139	0.962	0.984	1.051	1.161	1.139	1.028	0.962	1.261	1.261	1.128	0.940	0.918	0.962	1.062	1.028	1.139	0.929	1.028	1.128	0.907	0.851
1.237	0.899	1.247	0.978	0.967	1.012	1.158	0.978	1.001	1.068	1.181	1.158	1.046	0.978	1.272	1.282	1.147	0.955	0.933	0.978	1.079	1.046	1.158	0.945	1.046	1.147	0.922	0.866
1.056	0.768	1.066	0.836	0.826	0.864	0.989	0.836	0.854	0.912	1.008	0.989	0.893	0.836	1.104	1.094	0.979	0.816	0.796	0.836	0.921	0.893	0.989	0.806	0.893	0.979	0.787	0.739



