0.541	0.394	0.546	0.428	0.423	0.443	0.506	0.428	0.397	0.396	0.635	0.506	0.457	0.428	0.201	0.491	0.502	0.511	0.408	0.428	0.472	0.457	0.506	0.413	0.457	0.502	0.403	0.379
0.986	0.717	0.994	0.780	0.770	0.807	0.923	0.529	0.443	0.421	0.668	0.923	0.834	0.482	0.265	0.514	0.914	0.575	0.743	0.780	0.860	0.834	0.923	0.753	0.834	0.914	0.735	0.690
1.032	0.730	1.014	0.794	0.785	0.822	0.940	0.678	0.484	0.463	0.763	0.940	0.850	0.520	0.273	0.532	0.932	0.599	0.758	0.794	0.877	0.850	0.940	0.767	0.850	0.932	0.786	0.703
1.058	0.769	1.068	0.837	0.827	0.866	0.991	0.704	0.520	0.486	0.826	0.991	0.895	0.558	0.389	0.566	0.981	0.654	0.798	0.837	0.923	0.895	0.991	0.808	0.895	0.981	0.808	0.740
1.089	0.793	1.099	0.862	0.851	0.891	1.020	0.776	0.571	0.520	0.874	1.020	0.921	0.581	0.459	0.681	1.010	0.674	0.822	0.862	0.950	0.921	1.020	0.832	0.921	1.010	0.812	0.763
1.117	0.812	1.126	0.883	0.873	0.914	1.045	0.824	0.618	0.553	0.885	1.045	0.945	0.628	0.493	0.713	1.036	0.751	0.843	0.883	0.974	0.945	1.045	0.853	0.945	1.036	0.833	0.781
1.130	0.822	1.140	0.894	0.884	0.925	1.058	0.834	0.637	0.582	0.890	1.058	0.956	0.670	0.575	0.730	1.048	0.874	0.853	0.894	0.987	0.956	1.058	0.863	0.956	1.048	0.843	0.791
1.154	0.839	1.165	0.913	0.903	0.945	1.081	0.913	0.657	0.631	0.921	1.081	0.975	0.669	0.617	0.735	1.071	0.891	0.871	0.913	1.007	0.975	1.081	0.881	0.975	1.071	1.047	0.808
1.173	0.853	1.183	0.928	0.918	0.960	1.148	0.929	0.654	0.613	0.927	1.098	0.992	0.672	0.823	0.700	1.088	1.447	0.885	0.928	1.009	0.992	1.098	0.902	0.992	1.088	1.061	0.822
1.002	0.728	1.011	0.931	0.783	1.076	0.938	0.993	0.991	1.107	1.199	0.938	0.847	1.001	1.176	1.049	0.929	0.867	0.755	0.922	1.148	0.847	0.938	1.004	0.847	0.929	0.840	0.701





