0.558	0.406	0.563	0.442	0.437	0.457	0.522	0.442	0.449	0.372	0.533	0.522	0.471	0.442	0.420	0.417	0.518	0.431	0.421	0.442	0.487	0.471	0.522	0.426	0.471	0.518	0.416	0.391
1.017	0.740	1.025	0.804	0.795	0.832	0.952	0.804	0.480	0.402	0.971	0.952	0.860	0.467	0.470	0.460	0.943	0.594	0.767	0.804	0.887	0.860	0.952	0.776	0.860	0.943	0.758	0.712
1.036	0.753	1.046	0.820	0.810	0.848	0.970	0.820	0.546	0.451	0.989	0.970	0.876	0.507	0.519	0.518	0.961	0.627	0.782	0.820	0.904	0.876	0.970	0.791	0.876	0.961	0.772	0.725
1.092	0.794	1.101	0.864	0.853	0.894	1.023	0.864	0.609	0.526	1.042	1.023	0.924	0.543	0.572	0.571	1.012	0.747	0.823	0.864	0.952	0.924	1.023	0.834	0.924	1.012	0.814	0.764
1.124	0.818	1.134	0.889	0.878	0.920	1.052	0.889	0.753	0.809	1.073	1.052	0.950	0.744	0.849	0.752	1.042	0.676	0.848	0.889	0.980	0.950	1.052	0.858	0.950	1.042	0.838	0.787
1.152	0.838	1.162	0.911	0.900	0.943	1.078	0.911	0.932	0.995	1.100	1.078	0.975	0.911	1.175	0.993	1.069	0.842	0.870	0.911	1.005	0.975	1.078	0.880	0.975	1.069	0.859	0.806
1.166	0.848	1.177	0.923	0.912	0.954	1.092	0.923	0.944	1.007	1.113	1.092	0.986	0.923	1.208	1.208	1.081	0.901	0.880	0.923	1.018	0.986	1.092	0.891	0.986	1.081	0.870	0.816
1.191	0.866	1.202	0.942	0.931	0.975	1.115	0.942	0.963	1.028	1.136	1.115	1.006	0.942	1.234	1.234	1.104	0.920	0.899	0.942	1.039	1.006	1.115	0.909	1.006	1.104	0.888	0.833
1.210	0.880	1.221	0.957	0.947	0.990	1.133	0.957	0.979	1.045	1.155	1.133	1.024	0.957	1.245	1.254	1.123	1.580	0.913	0.957	1.056	1.024	1.133	0.924	1.024	1.123	0.902	0.848
1.033	0.751	1.043	0.818	0.808	0.846	0.968	0.818	0.836	0.893	0.986	0.968	0.873	0.818	1.080	1.071	0.958	0.798	0.779	0.818	0.901	0.873	0.968	0.789	0.873	0.958	0.771	0.723





