0.561	0.408	0.566	0.444	0.439	0.459	0.525	0.444	0.427	0.403	0.536	0.525	0.474	0.422	0.467	0.409	0.520	0.433	0.424	0.444	0.489	0.474	0.525	0.428	0.474	0.520	0.418	0.393
1.022	0.744	1.031	0.808	0.799	0.836	0.957	0.808	0.471	0.414	0.976	0.957	0.864	0.453	0.510	0.461	0.948	0.597	0.771	0.808	0.892	0.864	0.957	0.780	0.864	0.948	0.762	0.716
1.041	0.757	1.051	0.824	0.814	0.852	0.975	0.824	0.479	0.469	0.994	0.975	0.881	0.501	0.514	0.501	0.966	0.621	0.786	0.824	0.909	0.881	0.975	0.795	0.881	0.966	0.777	0.729
1.098	0.798	1.107	0.868	0.858	0.898	1.028	0.868	0.500	0.500	1.047	1.028	0.928	0.529	0.577	0.565	1.017	0.678	0.828	0.868	0.957	0.928	1.028	0.838	0.928	1.017	0.818	0.768
1.129	0.822	1.140	0.894	0.883	0.924	1.058	0.894	0.538	0.555	1.078	1.058	0.955	0.571	0.595	0.597	1.047	0.680	0.852	0.894	0.985	0.955	1.058	0.863	0.955	1.047	0.842	0.791
1.158	0.842	1.168	0.916	0.905	0.948	1.084	0.916	0.597	0.573	1.105	1.084	0.980	0.563	0.627	0.641	1.074	0.778	0.874	0.916	1.011	0.980	1.084	0.885	0.980	1.074	0.864	0.810
1.172	0.853	1.183	0.927	0.917	0.959	1.098	0.927	0.691	0.794	1.119	1.098	0.991	0.793	0.760	0.669	1.087	0.906	0.885	0.927	1.023	0.991	1.098	0.895	0.991	1.087	0.874	0.820
1.197	0.870	1.208	0.947	0.936	0.980	1.121	0.947	0.968	1.034	1.142	1.121	1.011	0.947	1.241	0.868	1.110	0.924	0.903	0.947	1.044	1.011	1.121	0.914	1.011	1.110	0.893	0.837
1.216	0.885	1.227	0.962	0.952	0.995	1.139	0.962	0.984	1.050	1.161	1.139	1.029	0.962	1.251	1.261	1.128	1.714	0.918	0.962	1.062	1.029	1.139	0.929	1.029	1.128	0.907	0.852
1.039	0.755	1.048	0.822	0.812	0.850	0.973	0.822	0.840	0.897	0.991	0.973	0.878	0.822	1.086	1.076	0.963	0.803	0.783	0.822	0.906	0.878	0.973	0.793	0.878	0.963	0.775	0.727




