1.503	1.224	1.405	1.029	1.151	1.174	1.357	1.320	0.452	0.614	1.115	1.453	1.066	0.467	0.353	0.467	1.333	1.308	1.090	1.054	1.478	1.344	1.115	1.333	1.344	1.453	1.308	1.066
1.583	1.290	1.481	1.085	1.212	1.239	1.430	1.392	0.572	0.686	1.174	1.532	1.123	0.505	0.539	0.551	1.404	1.379	1.150	1.110	1.557	1.417	1.174	1.404	1.417	1.532	1.379	1.123
1.781	1.438	1.651	1.211	1.353	1.381	1.595	1.552	0.640	0.719	1.310	1.709	1.252	0.539	0.558	0.614	1.565	1.537	1.282	1.239	1.737	1.580	1.310	1.565	1.580	1.709	1.537	1.252
2.063	1.626	1.869	1.369	1.531	1.562	1.804	1.755	0.747	0.754	1.481	1.933	1.417	0.553	0.637	0.663	1.771	1.740	1.450	1.402	1.964	1.788	1.481	1.771	1.788	1.933	1.740	1.417
2.108	1.717	1.971	1.445	1.615	1.649	1.903	1.852	0.802	0.795	1.564	2.040	1.496	0.666	0.686	0.731	1.869	1.836	1.529	1.480	2.073	1.887	1.564	1.869	1.887	2.040	1.836	1.496
2.200	1.793	2.058	1.509	1.686	1.722	1.988	1.935	0.853	0.886	1.633	2.129	1.562	0.708	0.729	0.783	1.953	1.917	1.598	1.544	2.166	1.971	1.633	1.953	1.971	2.129	1.917	1.562
2.294	1.869	2.146	1.572	1.758	1.795	2.072	2.017	0.871	0.917	1.702	2.220	1.628	0.912	0.795	0.958	2.035	1.997	1.666	1.610	2.258	2.054	1.702	2.035	2.054	2.220	1.997	1.628
2.888	2.407	2.764	2.025	2.263	2.311	2.669	2.108	1.578	1.476	1.885	2.858	2.096	1.463	1.351	1.625	2.621	2.573	2.144	2.073	2.360	2.644	2.192	2.123	2.644	2.858	2.573	2.096
2.120	1.727	1.984	1.453	1.625	1.659	1.915	2.598	2.025	2.144	2.192	2.052	1.504	2.025	1.882	2.073	1.880	1.847	1.539	1.488	2.906	1.898	1.574	2.621	1.898	2.052	1.847	1.504
1.841	1.499	1.722	1.262	1.410	1.440	1.663	1.618	1.262	1.336	1.366	1.781	1.306	1.262	1.173	1.291	1.633	1.603	1.336	1.291	1.811	1.648	1.366	1.633	1.648	1.781	1.603	1.306





