0.933	0.760	0.873	0.639	0.715	0.729	0.843	0.819	0.281	0.381	0.692	0.902	0.662	0.290	0.219	0.290	0.827	0.812	0.677	0.654	0.918	0.835	0.692	0.827	0.835	0.902	0.812	0.662
0.983	0.801	0.920	0.674	0.753	0.769	0.888	0.864	0.355	0.426	0.729	0.951	0.697	0.313	0.335	0.342	0.872	0.856	0.714	0.689	0.967	0.880	0.729	0.872	0.880	0.951	0.856	0.697
1.106	0.893	1.025	0.752	0.840	0.857	0.990	0.964	0.397	0.447	0.813	1.061	0.777	0.335	0.346	0.381	0.972	0.954	0.796	0.769	1.078	0.981	0.813	0.972	0.981	1.061	0.954	0.777
1.281	1.010	1.160	0.850	0.950	0.970	1.120	1.090	0.464	0.468	0.920	1.200	0.880	0.343	0.395	0.412	1.100	1.080	0.900	0.870	1.220	1.110	0.920	1.100	1.110	1.200	1.080	0.880
1.309	1.066	1.224	0.897	1.003	1.024	1.182	1.150	0.498	0.494	0.971	1.267	0.929	0.414	0.426	0.454	1.160	1.140	0.949	0.919	1.287	1.172	0.971	1.160	1.172	1.267	1.140	0.929
1.366	1.113	1.278	0.937	1.047	1.069	1.234	1.201	0.529	0.550	1.014	1.322	0.970	0.439	0.453	0.486	1.213	1.190	0.992	0.959	1.345	1.224	1.014	1.213	1.224	1.322	1.190	0.970
1.425	1.160	1.332	0.976	1.092	1.114	1.286	1.252	0.541	0.569	1.057	1.378	1.011	0.566	0.494	0.595	1.264	1.240	1.034	1.000	1.402	1.275	1.057	1.264	1.275	1.378	1.240	1.011
1.793	1.494	1.716	1.258	1.405	1.435	1.657	1.309	0.980	0.917	1.171	1.775	1.302	0.908	0.839	1.009	1.627	1.598	1.331	1.287	1.465	1.642	1.361	1.318	1.642	1.775	1.598	1.302
1.316	1.072	1.232	0.902	1.009	1.030	1.189	1.613	1.258	1.331	1.361	1.274	0.934	1.258	1.168	1.287	1.167	1.147	0.955	0.924	1.804	1.179	0.977	1.627	1.179	1.274	1.147	0.934
1.143	0.931	1.069	0.783	0.876	0.894	1.032	1.005	0.783	0.830	0.848	1.106	0.811	0.783	0.728	0.802	1.014	0.995	0.830	0.802	1.124	1.023	0.848	1.014	1.023	1.106	0.995	0.811



