0.949	0.785	0.934	0.700	0.747	0.708	0.801	0.872	0.331	0.487	0.700	0.872	0.630	0.387	0.243	0.301	0.817	0.778	0.762	0.716	0.918	0.817	0.700	0.817	0.817	0.872	0.778	0.630
1.012	0.837	0.995	0.746	0.796	0.755	0.854	0.929	0.779	0.813	0.746	0.929	0.671	0.779	0.912	0.763	0.871	0.829	0.813	0.763	0.978	0.871	0.746	0.871	0.871	0.929	0.829	0.671
1.128	0.934	1.110	0.832	0.887	0.841	0.952	1.035	0.868	0.906	0.832	1.035	0.748	0.868	1.017	0.851	0.971	0.924	0.906	0.851	1.091	0.971	0.832	0.971	0.971	1.035	0.924	0.748
1.347	1.115	1.325	0.994	1.059	1.004	1.137	1.236	1.038	1.081	0.994	1.236	0.894	1.038	1.214	1.016	1.159	1.104	1.081	1.016	1.303	1.159	0.994	1.159	1.159	1.236	1.104	0.894
1.466	1.214	1.442	1.081	1.154	1.094	1.237	1.346	1.130	1.177	1.081	1.346	0.974	1.130	1.322	1.106	1.262	1.202	1.177	1.106	1.418	1.262	1.081	1.262	1.262	1.346	1.202	0.974
1.603	1.327	1.577	1.183	1.262	1.195	1.353	1.471	1.235	1.288	1.183	1.471	1.065	1.235	1.445	1.209	1.380	1.314	1.288	1.209	1.550	1.380	1.183	1.380	1.380	1.471	1.314	1.065
1.480	1.226	1.456	1.092	1.165	1.105	1.250	1.359	1.140	1.189	1.092	1.359	0.982	1.140	1.334	1.116	1.274	1.213	1.189	1.116	1.431	1.274	1.092	1.274	1.274	1.359	1.213	0.982
1.427	1.182	1.404	1.053	1.124	1.065	1.206	1.310	1.100	1.147	1.053	1.310	0.948	1.100	1.287	1.076	1.229	1.170	1.147	1.076	1.381	1.229	1.053	1.229	1.229	1.310	1.170	0.948
1.276	1.057	1.255	0.942	1.004	0.952	1.078	1.172	0.983	1.026	0.942	1.172	0.847	0.983	1.151	0.962	1.098	1.047	1.026	0.962	1.235	1.098	0.942	1.098	1.098	1.172	1.047	0.847
1.171	0.970	1.152	0.863	0.921	0.874	0.989	1.075	0.902	0.940	0.863	1.075	0.778	0.902	1.056	0.883	1.008	0.960	0.940	0.883	1.132	1.008	0.863	1.008	1.008	1.075	0.960	0.778


