1.077	0.877	1.007	0.737	0.825	0.841	0.973	0.945	0.324	0.440	0.799	1.041	0.763	0.334	0.253	0.334	0.955	0.937	0.781	0.755	1.059	0.963	0.799	0.955	0.963	1.041	0.937	0.763
1.135	0.924	1.061	0.778	0.869	0.888	1.025	0.997	0.410	0.492	0.841	1.098	0.805	0.362	0.386	0.395	1.006	0.988	0.824	0.795	1.116	1.015	0.841	1.006	1.015	1.098	0.988	0.805
1.276	1.031	1.183	0.867	0.969	0.989	1.143	1.112	0.459	0.515	0.938	1.224	0.897	0.386	0.399	0.440	1.122	1.101	0.918	0.888	1.244	1.132	0.938	1.122	1.132	1.224	1.101	0.897
1.478	1.165	1.339	0.981	1.097	1.119	1.293	1.257	0.535	0.540	1.061	1.385	1.015	0.396	0.456	0.475	1.269	1.247	1.039	1.005	1.408	1.281	1.061	1.269	1.281	1.385	1.247	1.015
1.510	1.230	1.412	1.035	1.157	1.182	1.364	1.327	0.574	0.570	1.120	1.462	1.072	0.477	0.492	0.524	1.339	1.315	1.096	1.060	1.486	1.352	1.120	1.339	1.352	1.462	1.315	1.072
1.577	1.285	1.475	1.081	1.208	1.234	1.424	1.386	0.611	0.635	1.170	1.526	1.119	0.507	0.522	0.561	1.399	1.373	1.145	1.106	1.552	1.412	1.170	1.399	1.412	1.526	1.373	1.119
1.644	1.339	1.538	1.126	1.260	1.286	1.484	1.445	0.624	0.657	1.220	1.591	1.166	0.654	0.570	0.687	1.458	1.431	1.194	1.153	1.618	1.471	1.220	1.458	1.471	1.591	1.431	1.166
2.069	1.724	1.981	1.451	1.621	1.656	1.912	1.510	1.131	1.058	1.351	2.048	1.502	1.048	0.968	1.164	1.878	1.844	1.536	1.486	1.691	1.894	1.571	1.521	1.894	2.048	1.844	1.502
1.519	1.237	1.422	1.041	1.164	1.189	1.372	1.861	1.451	1.536	1.571	1.470	1.078	1.451	1.348	1.486	1.347	1.324	1.103	1.066	2.082	1.360	1.127	1.878	1.360	1.470	1.324	1.078
1.319	1.074	1.234	0.904	1.010	1.032	1.191	1.159	0.904	0.957	0.979	1.276	0.936	0.904	0.840	0.925	1.170	1.149	0.957	0.925	1.298	1.181	0.979	1.170	1.181	1.276	1.149	0.936


