0.614	0.508	0.594	0.443	0.478	0.544	0.508	0.559	0.278	0.288	0.458	0.588	0.428	0.250	0.249	0.232	0.448	0.468	0.452	0.544	0.524	0.448	0.448	0.443	0.473	0.452	0.594	0.544
0.894	0.740	0.865	0.645	0.696	0.791	0.740	0.734	0.297	0.322	0.666	0.857	0.623	0.320	0.273	0.279	0.652	0.681	0.659	0.791	0.762	0.652	0.652	0.645	0.688	0.659	0.865	0.791
1.023	0.847	0.990	0.738	0.797	0.906	0.847	0.787	0.341	0.367	0.764	0.982	0.713	0.339	0.294	0.322	0.747	0.780	0.755	0.906	0.804	0.747	0.747	0.738	0.788	0.755	0.990	0.906
1.052	0.871	1.018	0.759	0.819	0.931	0.871	0.821	0.373	0.417	0.785	1.009	0.733	0.367	0.338	0.345	0.767	0.802	0.776	0.931	0.831	0.767	0.767	0.759	0.811	0.776	1.018	0.931
1.151	0.953	1.114	0.830	0.896	1.019	0.953	0.856	0.386	0.453	0.858	1.104	0.801	0.392	0.374	0.367	0.840	0.878	0.849	1.019	0.873	0.840	0.840	0.830	0.887	0.849	1.114	1.019
1.198	0.984	1.150	0.858	0.926	1.052	0.984	0.926	0.778	0.744	0.887	1.140	0.829	0.744	0.846	0.663	0.867	0.906	0.877	1.052	1.014	0.867	0.867	0.858	0.916	0.877	1.150	1.052
1.240	1.019	1.191	0.888	0.958	1.090	1.019	1.120	0.898	0.949	0.918	1.181	0.858	1.120	1.171	1.160	0.898	0.938	0.908	1.090	1.050	0.898	0.898	0.888	0.949	0.908	1.191	1.090
1.249	1.034	1.207	0.901	0.972	1.106	1.034	1.136	0.911	0.962	0.931	1.198	0.870	1.136	1.187	1.532	0.911	0.952	0.922	1.106	1.065	0.911	0.911	0.901	0.962	0.922	1.207	1.106
1.227	1.015	1.186	0.885	0.955	1.086	1.015	1.116	0.895	0.945	0.915	1.177	0.855	1.116	1.166	1.165	0.895	0.936	0.905	1.086	1.046	0.895	0.895	0.885	0.945	0.905	1.186	1.086
1.120	0.927	1.083	0.808	0.872	0.991	0.927	1.018	0.816	0.863	0.835	1.073	0.780	1.018	1.065	1.110	0.816	0.853	0.826	0.991	0.954	0.816	0.816	0.808	0.863	0.826	1.083	0.991

