0.301	0.250	0.296	0.226	0.238	0.221	0.243	0.140	0.233	0.243	0.110	0.243	0.188	0.233	0.271	0.226	0.250	0.231	0.243	0.226	0.138	0.241	0.219	0.125	0.241	0.262	0.231	0.188
0.611	0.509	0.602	0.460	0.484	0.450	0.494	0.284	0.286	0.367	0.223	0.494	0.382	0.438	0.328	0.386	0.509	0.470	0.494	0.460	0.281	0.489	0.445	0.254	0.489	0.533	0.470	0.382
0.868	0.722	0.854	0.653	0.687	0.639	0.701	0.403	0.318	0.392	0.316	0.701	0.541	0.497	0.389	0.419	0.722	0.666	0.701	0.653	0.399	0.694	0.632	0.361	0.694	0.757	0.666	0.541
1.081	0.900	1.064	0.813	0.856	0.796	0.874	0.502	0.338	0.447	0.394	0.874	0.675	0.535	0.425	0.475	0.900	0.830	0.874	0.813	0.497	0.865	0.787	0.450	0.865	0.943	0.830	0.675
1.213	1.009	1.194	0.912	0.961	0.893	0.980	0.563	0.386	0.491	0.442	0.980	0.757	0.589	0.448	0.573	1.009	0.932	0.980	0.912	0.558	0.970	0.883	0.505	0.970	1.058	0.932	0.757
1.521	1.266	1.497	1.144	1.205	1.120	1.229	0.706	0.418	0.518	0.554	1.229	0.949	0.618	0.517	0.673	1.266	1.168	1.229	1.144	0.700	1.217	1.107	0.633	1.217	1.326	1.168	0.949
1.699	1.414	1.672	1.278	1.346	1.251	1.373	0.789	0.476	0.558	0.619	1.373	1.060	0.647	0.533	0.725	1.414	1.305	1.373	1.278	0.782	1.359	1.237	0.707	1.359	1.482	1.305	1.060
1.744	1.451	1.716	1.312	1.381	1.284	1.409	1.324	0.879	1.156	0.956	1.409	1.088	1.146	0.965	1.215	1.451	1.339	1.409	1.312	0.802	1.395	1.270	0.726	1.395	1.521	1.339	1.088
1.767	1.470	1.738	1.329	1.399	1.300	1.428	1.389	1.371	1.428	0.996	1.428	1.102	1.371	1.583	1.329	1.470	1.357	1.428	1.329	0.813	1.413	1.286	0.735	1.413	1.541	1.357	1.102
1.724	1.435	1.697	1.297	1.366	1.269	1.393	1.187	1.338	1.393	0.874	1.393	1.076	1.338	1.545	1.297	1.435	1.324	1.393	1.297	0.793	1.379	1.255	0.717	1.379	1.504	1.324	1.076




